Order ID,Order Date,Region,Category,Sub-Category,Product Name,Sales,Profit,Quantity,Discount
CA-2019-1001,15-01-2019,West,Office Supplies,Binders,"Avery Binder 1""",200,50,4,0.1
CA-2019-1002,22-02-2019,East,Furniture,Chairs,Executive Chair,500,120,2,0.2
CA-2019-1003,10-03-2019,Central,Technology,Phones,iPhone 11,1200,300,1,0
CA-2019-1004,05-04-2019,South,Office Supplies,Paper,HP Copy Paper,30,5,10,0
CA-2019-1005,18-05-2019,West,Furniture,Tables,Conference Table,800,100,1,0.15
CA-2019-1006,21-06-2019,East,Technology,Accessories,USB-C Adapter,40,10,3,0.05
CA-2019-1007,11-07-2019,Central,Office Supplies,Envelopes,Security Envelopes,20,3,5,0
CA-2019-1008,25-08-2019,South,Technology,Laptops,Dell Latitude,1500,350,1,0.1
CA-2019-1009,30-09-2019,West,Furniture,Bookcases,Metal Bookcase,250,25,2,0.05
CA-2019-1010,14-10-2019,East,Office Supplies,Labels,Shipping Labels,15,2.5,6,0
